pto_no,sacco,permit_id,primary_route,all_matches,confidence,score,reasons,route_text
NTSA/RSN-01901,Aldana Supreme,NTR-00202108060811330,237,237 (MEDIUM:48); 3N (LOW:39); 145 (LOW:36),MEDIUM,48,"4 waypoints (juja, thika, ruiru)","Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga"
NTSA/RSN-01901,Aldana Supreme,ADR-A5ACPY5,14,14 (MEDIUM:63); 46B (MEDIUM:63); 46H (MEDIUM:63),MEDIUM,63,"4 waypoints (ronald, juja, ngala); Terminal 'otc'","Ruai, Dandora, Outering rd, Cabanas, Juja rd, Kariokor Ngara, Ronald Ngala, Thika rd, Thika"
NTSA/RSN-01901,Aldana Supreme,,,,UNMATCHED,0,Insufficient keyword overlap,"Nairobi - Thika,Muranga,Sagana,Nyeri - Naivasha via Nyahururu and back"
NTSA/RSN-0023,Aldana,NTR-00202003241145200,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (MEDIUM:51),MEDIUM,51,"3 waypoints (ronald, juja, ngala); Terminal 'otc'","Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika"
NTSA/RSN-0023,Aldana,NTR-00418,14,14 (MEDIUM:63); 46B (MEDIUM:63); 04SK (MEDIUM:51),MEDIUM,63,"4 waypoints (ronald, kariobangi, ngala); Terminal 'otc'","Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri"
NTSA/RSN-0023,Aldana,NTR-00337,46B,46B (MEDIUM:51); 14 (LOW:39); 46H (LOW:39),MEDIUM,51,"3 waypoints (ronald, ngara, juja); Terminal 'otc'","ronald ngara, juja road, dandora"
NTSA/RSN-0023,Aldana,NTR-00360,,,UNMATCHED,0,Insufficient keyword overlap,"dandora, kariobangi, alsolps"
NTSA/RSN-0023,Aldana,NTR-00201909131231540,,,UNMATCHED,0,Insufficient keyword overlap,"dandora, kariobangi,alsops,thika rd, thika"
NTSA/RSN-0023,Aldana,ADR-2DVSRKQ,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (MEDIUM:51),MEDIUM,51,"3 waypoints (ronald, juja, ngala); Terminal 'otc'","dandora, juja road, ronald ngala"
NTSA/RSN-0023,Aldana,ADR-K9BF6RK,46B,46B (MEDIUM:51); 14 (LOW:39); 46H (LOW:39),MEDIUM,51,"3 waypoints (ronald, ngara, juja); Terminal 'otc'","ronald ngara, dandora, juja road"
NTSA/RSN-0023,Aldana,ADR-7WRS9DE,,,UNMATCHED,0,Insufficient keyword overlap,"dandora, alsolps, kariobangi"
NTSA/RSN-0023,Aldana,ADR-BQ9SQJ9,7,7 (LOW:39); 41 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","dandora, juja road,kariokor, gikomba"
NTSA/RSN-7779,Arbab Ventures,NTR-00201905131607200,11,11 (LOW:36); 11_2 (LOW:36),LOW,36,"3 waypoints (mombasa, machakos, south)","South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos"
NTSA/RSN-7779,Arbab Ventures,ADR-JY7SLOJ,,,UNMATCHED,0,Insufficient keyword overlap,"South c, South bLikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha, machakos"
NTSA/RSN-7779,Arbab Ventures,ADR-POKSRLV,34L,34L (LOW:39); 15 (LOW:36); 118 (LOW:36),LOW,39,"2 waypoints (nairobi, langata); Terminal 'knh'","Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata"
NTSA/RSN-7779,Arbab Ventures,ADR-VYAS9K2,11,11 (MEDIUM:63); 11_2 (MEDIUM:48); 33FED (MEDIUM:48),MEDIUM,63,"4 waypoints (machakos, area, industrial); Terminal 'bus station'","machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha"
NTSA/RSN-7779,Arbab Ventures,ADR-Q5LCMKD,11,11 (MEDIUM:63); 11_2 (MEDIUM:48); 33FED (MEDIUM:48),MEDIUM,63,"4 waypoints (machakos, area, industrial); Terminal 'bus station'","machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,donholm, fedha"
NTSA/RSN-0030,Baba Dogo 25,NTR-00201910081316170,25,25 (HIGH:101); 25A (HIGH:98),HIGH,101,"Exact number '25'; 3 waypoints (dogo, baba, odeon); Terminal 'odeon'","odeon, muranga rd terminus,thika rd,alsops,baba dogo,outering rd,caltex, donholm"
NTSA/RSN-0030,Baba Dogo 25,ADR-BQ9S3MQ,25,25 (HIGH:89); 25A (HIGH:74),HIGH,89,"Exact number '25'; 2 waypoints (dogo, odeon); Terminal 'odeon'","Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm"
NTSA/RSN-0030,Baba Dogo 25,ADR-REOSLYL,25,25 (HIGH:101); 25A (HIGH:98); 04SK (MEDIUM:48),HIGH,101,"Exact number '25'; 3 waypoints (dogo, baba, odeon); Terminal 'odeon'","Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor"
NTSA/RSN-0030,Baba Dogo 25,ADR-MDMSAEM,25,25 (HIGH:77); 25A (MEDIUM:62),HIGH,77,Exact number '25'; 1 waypoints (odeon); Terminal 'odeon',"odeon, thika road, babadogo"
NTSA/RSN-0030,Baba Dogo 25,ADR-YM3SEJ6,25,25 (HIGH:77); 25A (MEDIUM:62),HIGH,77,Exact number '25'; 1 waypoints (odeon); Terminal 'odeon',"odeon, babadogo, thika road"
NTSA/RSN-0032,Bakaki 101,NTR-00201911291135300,116,116 (MEDIUM:48); 114R (MEDIUM:48); 107 (LOW:36),MEDIUM,48,"4 waypoints (tigoni, limuru, banana)","Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni"
NTSA/RSN-0032,Bakaki 101,ADR-2DVSRWK,,,UNMATCHED,0,Insufficient keyword overlap,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni"
NTSA/RSN-0032,Bakaki 101,ADR-K9BF6JM,,,UNMATCHED,0,Insufficient keyword overlap,"kiambu, banana, limuru"
NTSA/RSN-0037,Banana Hill Matatu,NTR-00202107191137140,,,UNMATCHED,0,Insufficient keyword overlap,"Banana, Kiambu Nairobi thika rd ruiru thika, Soko mjinga via limuru"
NTSA/RSN-0037,Banana Hill Matatu,NTR-00202211011757100,,,UNMATCHED,0,Insufficient keyword overlap,"Thika, Ruiru Kiambu, Olkalou via Banana"
NTSA/RSN-0037,Banana Hill Matatu,ADR-7WRS96P,,,UNMATCHED,0,Insufficient keyword overlap,"banana, kiambu, nairobi, thika road, ruiru, thika"
NTSA/RSN-0037,Banana Hill Matatu,ADR-BQ9SQ6V,,,UNMATCHED,0,Insufficient keyword overlap,"banana, thika,commercial, kiambu"
NTSA/RSN-0037,Banana Hill Matatu,ADR-REOSZKQ,,,UNMATCHED,0,Insufficient keyword overlap,"banana, commercial, kiambu, thika"
NTSA/RSN-0039,Benjo( K),NTR-00833,,,UNMATCHED,0,Insufficient keyword overlap,"Embu, Kitui, Mwingi and Back"
NTSA/RSN-0039,Benjo( K),NTR-001425,38/39,38/39 (MEDIUM:63); 7 (LOW:39); 10 (LOW:39),MEDIUM,63,"5 waypoints (ruai, jogoo, muthurwa); Terminal 'bus station'","Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back"
NTSA/RSN-0039,Benjo( K),NTR-00741,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 16/62 (MEDIUM:51),MEDIUM,63,"6 waypoints (ruai, jogoo, makongeni); Terminal 'bus station'","Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri"
NTSA/RSN-0039,Benjo( K),ADR-537HOWE,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, matuu, kitui, mwingi"
NTSA/RSN-0039,Benjo( K),ADR-A5AC78Q,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, mwingi,thika,matuu, kitui"
NTSA/RSN-0050,Buruburu 58,ADR-K9BFLV9,48B,48B (LOW:36); 48C (LOW:36),LOW,36,"3 waypoints (kangundo, bypass, likoni)","Commercial, muthurwaJogoo road Lusaka Likoni rd JerichoBuruburu Rabai rd Outering rdAlsops Kangundo rd Eastern bypass, Malaa"
NTSA/RSN-0050,Buruburu 58,ADR-7WRSVZ6,58,58 (HIGH:62); 48B (LOW:36); 48C (LOW:36),HIGH,62,Exact number '58'; 1 waypoints (buruburu),"Commercial, muthurwaJogoo road Lusaka Enterprise rd Likoni rd Jericho Buruburu Rabai rd Outering rd Alsops Kangundo rd Eastern bypass, Malaa"
NTSA/RSN-0050,Buruburu 58,ADR-BQ9S53D,58,58 (HIGH:74); 33C (LOW:39); 33FED (LOW:39),HIGH,74,"Exact number '58'; 2 waypoints (buruburu, jogoo)","buruburu, jogoo rd accra, commercial"
NTSA/RSN-0050,Buruburu 58,ADR-REOSRLV,58,58 (HIGH:74); 33C (LOW:39); 33FED (LOW:39),HIGH,74,"Exact number '58'; 2 waypoints (buruburu, jogoo)","buruburu, jogoo road, commercial"
NTSA/RSN-0050,Buruburu 58,ADR-MDMSQA8,58,58 (HIGH:74); 10 (LOW:39); 69 (LOW:39),HIGH,74,"Exact number '58'; 2 waypoints (buruburu, jogoo)","commercial, buruburu,muthurwa, jogoo road"
NTSA/RSN-0050,Buruburu 58,ADR-YM3S6EM,58,58 (HIGH:74); 33C (LOW:39); 33FED (LOW:39),HIGH,74,"Exact number '58'; 2 waypoints (buruburu, jogoo)","buruburu, commercial, jogoo road"
NTSA/RSN-9870,Bybuss Trans,NTR-00202007061248330,118,118 (MEDIUM:51); 119 (MEDIUM:51); 100A (LOW:39),MEDIUM,51,"3 waypoints (kabete, ngara, lower); Terminal 'koja'","Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)"
NTSA/RSN-9870,Bybuss Trans,NTR-00202009081636350,119,119 (LOW:39),LOW,39,"2 waypoints (kiambu, wangige); Terminal 'koja'","Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru"
NTSA/RSN-9870,Bybuss Trans,NTR-00202102051433520,119,119 (MEDIUM:63); 114R (MEDIUM:63); 114W (MEDIUM:63),MEDIUM,63,"4 waypoints (westlands, kiambu, ngara); Terminal 'koja'","Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru Thika(makongeni), muranga"
NTSA/RSN-9870,Bybuss Trans,NTR-00202102051436280,102,102 (MEDIUM:48); 2 (LOW:36); 24 (LOW:36),MEDIUM,48,"4 waypoints (kawangware, ngong, dagoretti)","Thika (makongeni), Kiambu ruaka gachie wangige nyathuna ngecha kabuku limuru kikuyu kangemi kawangware dagoretti corner& market karen bomas ngong, Kiserian"
NTSA/RSN-9870,Bybuss Trans,ADR-BQ9SMJB,118,118 (MEDIUM:51); 114W (MEDIUM:51); 115 (LOW:39),MEDIUM,51,"3 waypoints (lower, ngara, kabete); Terminal 'koja'","Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabuku, Limuru"
NTSA/RSN-9870,Bybuss Trans,ADR-REOSYWM,119,119 (MEDIUM:63); 114R (MEDIUM:63); 114W (MEDIUM:63),MEDIUM,63,"4 waypoints (westlands, kiambu, ngara); Terminal 'koja'","Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru, Thika(makongeni)"
NTSA/RSN-9870,Bybuss Trans,ADR-MDMSEYL,114R,114R (MEDIUM:48); 102 (LOW:36); 105 (LOW:36),MEDIUM,48,"4 waypoints (limuru, banana, ruaka)","Thika (makongeni), Kiambu ruakagachie wangige nyathuna ngecha kabuku limuru kangemi Dagoretti ngong, Kiserian, 8Ngara;Westlands,Ruaka,Gachie,Ngecha,Banana,Kiambu,Limuru,Kikuyu,Kangemi,Dagoret,Karen,Boma,Ngong - Kiserian and back"
NTSA/RSN-0053,Cbet,NTR-00202012111552070,04SK,04SK (LOW:36); 38/39 (LOW:36),LOW,36,"3 waypoints (kangundo, koma, jogoo)","Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park"
NTSA/RSN-0053,Cbet,NTR-00202012111553240,,,UNMATCHED,0,Insufficient keyword overlap,"Gillhouse, Mombasa rd Athi river, Machakos"
NTSA/RSN-0053,Cbet,NTR-00202104141523000,,,UNMATCHED,0,Insufficient keyword overlap,"kyumbi, malili, konza city"
NTSA/RSN-0053,Cbet,NTR-00202104141524480,,,UNMATCHED,0,Insufficient keyword overlap,"kenol, njumbi murarandaia githiga, kiria-ini"
NTSA/RSN-0053,Cbet,NTR-0063,106,106 (LOW:36); 110 (LOW:36); 116 (LOW:36),LOW,36,"3 waypoints (mombasa, park, city)","Gillhouse, MuthurwaJogoo roadBuruburu civil servant outering rd komarock bus park mombasa rd athi river machakos kyumbi malili murarandia githiga njumbi konza city kenol kangundo rd, kiria-ini"
NTSA/RSN-0053,Cbet,ADR-A5AC86D,33DP,33DP (MEDIUM:51); 10 (LOW:39); 11_2 (LOW:36),MEDIUM,51,"3 waypoints (park, muthurwa, jogoo); Terminal 'muthurwa'","gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini"
NTSA/RSN-0053,Cbet,ADR-9AKFR5P,10,10 (LOW:39); 33DP (LOW:39),LOW,39,"2 waypoints (muthurwa, jogoo); Terminal 'muthurwa'","gillhouse, civilservant,muthurwa,jogoo road, buruburu"
NTSA/RSN-0053,Cbet,ADR-DB3TOWP,10,10 (LOW:39); 33DP (LOW:39),LOW,39,"2 waypoints (muthurwa, jogoo); Terminal 'muthurwa'","gillhouse, muthurwa,jogoo road,buruburu, civilservant"
NTSA/RSN-0064,Chania,NTR-0053,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika,matuu,kitui, mwingi"
NTSA/RSN-0064,Chania,NTR-00182,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika, nyeri"
NTSA/RSN-0064,Chania,NTR-00183,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika nyeri nyahururu, nakuru"
NTSA/RSN-0064,Chania,NTR-00236,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika,nyeri,nyahururu, nakuru"
NTSA/RSN-0064,Chania,NTR-00142,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika road,thika, nyeri"
NTSA/RSN-0064,Chania,NTR-00519,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika,matuu, mwingi"
NTSA/RSN-0064,Chania,NTR-00567,,,UNMATCHED,0,Insufficient keyword overlap,"Nairobi, Thika Gatura Olkalou Nyahururu Nakuru, Eldoret"
NTSA/RSN-0064,Chania,NTR-00917,,,UNMATCHED,0,Insufficient keyword overlap,"Nairobi, Thika Nyeri Nyahururu Nakuru, Eldoret"
NTSA/RSN-0064,Chania,NTR-001007,,,UNMATCHED,0,Insufficient keyword overlap,"Nairobi, Ruiru Thika Odonyo Sabuk Matuu Kitui Mwingi Igikiro gatura Flyover Olkalou Nyahururu Nyeri Embu Meru Nakuru, Eldoret"
NTSA/RSN-0064,Chania,NTR-001285,118,118 (LOW:36); 107D (LOW:36),LOW,36,"3 waypoints (flyover, nairobi, bypass)","Nairobi, Eastleigh Outering Rd Eastern Bypass Mombasa Rd Matuu Kitui Mwigi Oldonyo sabuk Thika Ruiru Igikiro Gatura Flyover Olkalou Nyahururu Nyeri Meru Nakuru, Eldoret"
NTSA/RSN-0064,Chania,NTR-001145,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika, nyeri, meru"
NTSA/RSN-0064,Chania,ADR-Q5LCLAM,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika, flyover, nakuru"
NTSA/RSN-0064,Chania,ADR-EPJSJ6A,,,UNMATCHED,0,Insufficient keyword overlap,"thika, flyover, nakuru"
NTSA/RSN-0064,Chania,ADR-2DVSB6R,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, mwingi,thika,matuu, kitui"
NTSA/RSN-0064,Chania,ADR-K9BFBOV,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, nyeri, thika"
NTSA/RSN-0064,Chania,ADR-7WRS2W2,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika,nyeri, embu"
NTSA/RSN-0064,Chania,ADR-BQ9SZE5,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, nyeri,thika road, thika"
NTSA/RSN-0064,Chania,ADR-REOSOMB,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, mwingi,thika, matuu"
NTSA/RSN-0064,Chania,ADR-MDMSM85,,,UNMATCHED,0,Insufficient keyword overlap,"thika, nakuru, flyover"
NTSA/RSN-0064,Chania,ADR-YM3SLQD,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, meru, embu"
NTSA/RSN-0064,Chania,ADR-8LMSOPW,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, thika, nyeri, nyahururu, nakuru"
NTSA/RSN-0064,Chania,ADR-ZZJSZDW,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, nakuru, nyeri"
NTSA/RSN-041811,Chelsea,NTR-00202211011801400,44G,44G (MEDIUM:59); 44K (MEDIUM:59); 237 (MEDIUM:48),MEDIUM,59,"Base number '44'; 2 waypoints (githurai, west)","Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Kahawa West Ruiru Ruaka Limuru Juja, Juja Farm"
NTSA/RSN-041811,Chelsea,NTR-00202211071700350,237,237 (MEDIUM:48); 44G (MEDIUM:47); 44K (MEDIUM:47),MEDIUM,48,"4 waypoints (githurai, juja, thika)","Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Northern Bypass Ruiru Ruaka Kikuyu via Waiyaki Way Limuru Juja, Juja Farm"
NTSA/RSN-041811,Chelsea,ADR-8LMS57A,,,UNMATCHED,0,Insufficient keyword overlap,"ngara(figtree), githurai44, kahawa west, Commercial"
