via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
ronald ngala,68,23,2,kiambu_road thika_road,RUKAGINA 44 SACCO | ALDANA TRAVELLERS SACCO | NICCO MOVERS LIMITED,"Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika",ALDANA TRAVELLERS SACCO / NTR-00202003241145200,
gikomba,65,19,2,kiambu_road thika_road,NEEMA TRAVELLERS AGENCY LIMITED | TELAVIV TRAVELLERS LIMITED | ALDANA TRAVELLERS SACCO,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
juja road,64,17,2,kiambu_road thika_road,EASTLEIGH ROUTE SACCO | ECOSA TRAVELLERS SACCO | PEJO TECH COMPANY LTD,"ronald ngara, juja road, dandora",ALDANA TRAVELLERS SACCO / NTR-00337,
westlands,63,26,2,kiambu_road thika_road,WELKAN TRAVELLERS SERVICES LIMITED | STARBUS COMPANY (K) LTD | KANGEMI MATATU OWNERS SACCO,"odeon, westlands,kinoo, kikuyu",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / NTR-00341,
utawala,59,16,2,kiambu_road thika_road,tawala shuttle limited | kayo-line group company limited | MAMBIGI SERVICES LIMITED,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED / ADR-K9BFZR3,
commercial,55,23,2,kiambu_road thika_road,RUKAGINA 44 SACCO | NAKATHI TRAVELLERS SACCO LIMITED | tawala shuttle limited,"banana, thika,commercial, kiambu",BANANA HILL MATATU SACCO LTD / ADR-BQ9SQ6V,
dandora,53,13,2,kiambu_road thika_road,eastern bypass traverlers investment co. limited | ECOSA TRAVELLERS SACCO | NEEMA TRAVELLERS AGENCY LIMITED,"ronald ngara, juja road, dandora",ALDANA TRAVELLERS SACCO / NTR-00337,
eastleigh,49,19,2,kiambu_road thika_road,NEEMA TRAVELLERS AGENCY LIMITED | TELAVIV TRAVELLERS LIMITED | COMPLIANT MOA,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
ruai,46,14,2,kiambu_road thika_road,EASTERN KUBAMBA LIMITED | CIRCULAR CLASSIC COMPANY LIMITED | EMAAR CITY BUS LIMITED,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
nakuru,43,12,2,kiambu_road thika_road,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD | GITHIGA TRAVELLERS SACCO | eastern bypass traverlers investment co. limited,"nairobi, limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00494,
kiambu,43,15,2,kiambu_road thika_road,NAKWE TRAVELLERS SACCO SOCIETY LTD | KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED | KIAMBU MARAFIKI SACCO LTD,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201911291135300,
buruburu,42,17,2,kiambu_road thika_road,SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | OUTER CIRCLE SACCO | ECOSA TRAVELLERS SACCO,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
kariobangi,37,11,2,kiambu_road thika_road,EASTERN KUBAMBA LIMITED | kayo-line group company limited | MNK SACCO SOCIETY LTD,"dandora, kariobangi, alsolps",ALDANA TRAVELLERS SACCO / NTR-00360,
githunguri,36,13,2,kiambu_road thika_road,NAKWE TRAVELLERS SACCO SOCIETY LTD | SONY CLASSIC SHUTTLE EAST AFRICA LIMITED | KIAMBU MARAFIKI SACCO LTD,"githunguri, ngong,utawala, jkia, umoja, buruburu, jogoo road, bus station, knh, langata, karen, hardy",EXPRESS CONNECTIONS LTD / ADR-EPJSYPY,
tom mboya,34,13,2,kiambu_road thika_road,NAWASUKU SACCO | FOURTY FOUR OWNERS COMPANY LIMITED | ZURI GENESIS CO. LIMITED,"juja, ruiru,thika rd,tom mboya,bus station,buruburu,ruai,kangundo rd,joska, malaa",city star shuttle limited / NTR-00591,
joska,31,9,2,kiambu_road thika_road,tawala shuttle limited | eastern bypass traverlers investment co. limited | OBAMANA TRAVELLERS SACCO,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
thika makongeni,30,14,2,kiambu_road thika_road,EASTERN KUBAMBA LIMITED | zam zam fourty five limited | FOURTY FOUR OWNERS COMPANY LIMITED,"Kikuyu, GikamburaKamanguMutarakwaLimuruNorthern bypassRuiruThika rd, Thika (MAKONGENI)",2B TRAVELLERS SACCO LTD / NTR-00201912130944110,
thika rd,29,22,2,kiambu_road thika_road,MNK SACCO SOCIETY LTD | KANGEMI MATATU OWNERS SACCO | MANMO SACCO,"dandora, kariobangi,alsops,thika rd, thika",ALDANA TRAVELLERS SACCO / NTR-00201909131231540,
mlolongo,29,11,2,kiambu_road thika_road,FIVE FRIENDS INVESTMENT COMPANY LIMITED | eastern bypass traverlers investment co. limited | SUPER METRO LIMITED,"bus station, mombasa road, hazina, citycabanas, syokimau, katani, mlolongo",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-VYASL5Q,
kangundo rd,28,21,2,kiambu_road thika_road,tawala shuttle limited | NEEMA TRAVELLERS AGENCY LIMITED | KANGEMI MATATU OWNERS SACCO,"Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00202101181143450,
kangemi,28,10,2,kiambu_road thika_road,WELKAN TRAVELLERS SERVICES LIMITED | RWARE TRAVELLERS SACCO | STARBUS COMPANY (K) LTD,"odeon, westlands, kangemi",COSY TRAVEL LIMITED / NTR-0078,
uthiru,26,11,2,kiambu_road thika_road,LIRA LINE SACCO SOCIETY LTD | STARBUS COMPANY (K) LTD | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru",2B TRAVELLERS SACCO LTD / ADR-YM3SEOK,
wangige,26,8,2,kiambu_road thika_road,GARAMU TRAVEL SOLUTIONS LIMITED | WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"wangige, kahawa west KU Hospital, Ruiru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-9AKFJOA,
nyeri,26,9,2,kiambu_road thika_road,GMK SACCO LIMITED | PEJO TECH COMPANY LTD | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",ALDANA TRAVELLERS SACCO / NTR-00418,
malaa,25,12,2,kiambu_road thika_road,FIVE FRIENDS INVESTMENT COMPANY LIMITED | ALDANA SUPREME SERVICES LIMITED | OBAMANA TRAVELLERS SACCO,"Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga",ALDANA SUPREME SERVICES LIMITED / NTR-00202108060811330,
mfangano,25,8,2,kiambu_road thika_road,MAVEROUS SHUTTLE LIMITED | MADIWA MATATU OWNERS SACCO | COMPLIANT MOA,"mfangano, jogoo road,buruburu,civil servant,garage, eastleigh",COMPLIANT MOA / NTR-00354,
cabanas,24,14,2,kiambu_road thika_road,EASTERN KUBAMBA LIMITED | SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | NAWASUKU SACCO,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
juja,24,12,2,kiambu_road thika_road,SONY CLASSIC SHUTTLE EAST AFRICA LIMITED | JUJA ATHI TRAVELLERS SACCO. | FOURTY FOUR OWNERS COMPANY LIMITED,"juja, ruiru,thika rd,tom mboya,bus station,buruburu,ruai,kangundo rd,joska, malaa",city star shuttle limited / NTR-00591,
makongeni,22,15,2,kiambu_road thika_road,RUKAGINA 44 SACCO | NAKATHI TRAVELLERS SACCO LIMITED | zam zam fourty five limited,"Kikuyu, Wangige Kiambu Ruiru Thika road Juja, Makongeni",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / NTR-00202008120851300,
outering rd,22,15,2,kiambu_road thika_road,DOMANN ENTERPRISES | EASTLEIGH ROUTE SACCO | MNK SACCO SOCIETY LTD,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
kenol,22,10,2,kiambu_road thika_road,SUMMA TRANSPORTERS SACCO LIMITED | eastern bypass traverlers investment co. limited | CBET SACCO,"kenol, njumbi murarandaia githiga, kiria-ini",CBET SACCO / NTR-00202104141524480,
eastern bypass,21,8,2,kiambu_road thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | SOWETAMU TRAVELLERS SACCO | 61 BUS LIMITED,"Bus station, Muthurwa gikomba , Jogoo road juja rd outering rd , Kayole kangundo rd , Eastern bypass, Utawala City cabanas ruai, Kamulu",61 BUS LIMITED / NTR-001280,
jogoo rd,21,15,2,kiambu_road thika_road,STAHITO  COMMUTER  SERVICES CO. LIMITED | ROYAL SWIFT EXPRESS LIMITED | UMOINNER SACCO LTD,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
waiyaki way,21,10,2,kiambu_road thika_road,SUPER METRO LIMITED | city star shuttle limited | HANNOVER SWIFT TRANS LIMITED,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu, Waiyaki way",city star shuttle limited / ADR-DB3TQ92,
muranga,18,11,2,kiambu_road thika_road,GMK SACCO LIMITED | JUJA ATHI TRAVELLERS SACCO. | KIAMBU MARAFIKI SACCO LTD,"Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga",ALDANA SUPREME SERVICES LIMITED / NTR-00202108060811330,
kangundo,18,6,2,kiambu_road thika_road,EASTERN KUBAMBA LIMITED | eastern bypass traverlers investment co. limited | city star shuttle limited,"Kangundo, Malaa Ruai Juja Ruiru Thika Kenyatta university Juja rdTom mboya Kencom Ambassador Bus station Gikomba Jogoo rd Buruburu Outering rd Umoja Kangundo rdUtawala JKIA Mombasa SGR Syokimau Athi river Kitengela, Isinya",city star shuttle limited / NTR-00202101251031330,
mombasa rd,16,11,2,kiambu_road thika_road,DOMANN ENTERPRISES | STAHITO  COMMUTER  SERVICES CO. LIMITED | SOUTH B MATATU OWNERS SACCO SOCIETY LTD,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",CBET SACCO / ADR-A5AC86D,
bypass,16,9,2,kiambu_road thika_road,NAKATHI TRAVELLERS SACCO LIMITED | FOURTY FOUR OWNERS COMPANY LIMITED | ZURI GENESIS CO. LIMITED,"commercial, thika rd,githurai,kahawa west,bypass,ruiru, thika (makongeni)",FOURTY FOUR OWNERS COMPANY LIMITED / NTR-00201909171049330,
ruaka,16,9,2,kiambu_road thika_road,SONY CLASSIC SHUTTLE EAST AFRICA LIMITED | SUPER METRO LIMITED | ST. MARYS TRANSPORT SACCO SOCIETY,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",KENYA BUS SERVICE MANAGEMENT LIMITED / NTR-00202108060801500,
tommboya,15,8,2,kiambu_road thika_road,GITHIGA TRAVELLERS SACCO | ZURI GENESIS CO. LIMITED | 2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / NTR-00346,
huruma,15,5,2,kiambu_road thika_road,FIVE FRIENDS INVESTMENT COMPANY LIMITED | eastern bypass traverlers investment co. limited | HURUMA MINI-BUS SACCO LTD,"huruma, jonsaga, kariokor, ronald ngala",eastern bypass traverlers investment co. limited / ADR-2DVSDD7,
kamangu,13,7,2,kiambu_road thika_road,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | KANGEMI MATATU OWNERS SACCO,"tommboya, westlands,kinoo,kikuyu,kamangu, limuru",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / ADR-WZ9S3ZE,
ndeiya,13,5,2,kiambu_road thika_road,SAFELINE MATATU SOCCO SOCIETY LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | WAKIMALI TRAVELLERS CO. LIMITED,"NDEIYA, NDUMAONDIRIKIKUYUKABIRIADAGORETTI MARKETKARENBOMASRONGAI, KISERIAN",EXPRESO LIMITED / NTR-00201901221600550,
ndenderu,13,4,2,kiambu_road thika_road,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD | LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY | MERUIT LOGISTICS LIMITED,"kibera(dc), via prestige,yaya,kileleshwa,lavington,westlands,kangemi,kikuyu,odeon,via limuru rd,ndenderu, karura",KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD / NTR-00201910041157320,
kamulu,12,10,2,kiambu_road thika_road,EASTLEIGH ROUTE SACCO | MAVEROUS SHUTTLE LIMITED | eastern bypass traverlers investment co. limited,"Bus station, Muthurwa gikomba , Jogoo road juja rd outering rd , Kayole kangundo rd , Eastern bypass, Utawala City cabanas ruai, Kamulu",61 BUS LIMITED / NTR-001280,
jericho,12,6,2,kiambu_road thika_road,SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | peja travellers limited | DANDORA USAFIRI TRAVELLERS SACCO,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201909131211180,
tala,11,9,2,kiambu_road thika_road,SUPER METRO LIMITED | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KANGEMI MATATU OWNERS SACCO,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
juja rd,9,7,2,kiambu_road thika_road,EASTLEIGH ROUTE SACCO | NEEMA TRAVELLERS AGENCY LIMITED | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
mathare north,9,3,2,kiambu_road thika_road,FIG KOMBA | FIG PRESTIGE MANAGEMENT COMPANY LIMITED | MANMO SACCO,"mathare north, ngara,figtree,gikomba, kiambio",FIG KOMBA / NTR-00201812211059020,
saika,8,7,2,kiambu_road thika_road,SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | UMOINNER SACCO LTD | ALDANA SUPREME SERVICES LIMITED,"Saika, Dandora Outering road Thika road, Thika",ALDANA SUPREME SERVICES LIMITED / NTR-00202008111559300,
makongenithika,8,5,2,kiambu_road thika_road,FOURTY FOUR OWNERS COMPANY LIMITED | SUPER METRO LIMITED | SUPER TRAM LIMITED,"tom mboya, zimmerman,githurai,kahawa west,ruiru,juja,thika road, makongenithika",FOURTY FOUR OWNERS COMPANY LIMITED / NTR-00201901151029270,
kagwe,8,3,2,kiambu_road thika_road,KAKA TRAVELLERS SACCO LIMITED | GIKAKI SACCO SOCIETY LIMITED | NAKWE TRAVELLERS SACCO SOCIETY LTD,"githunguri, kagwe, kimende, ruiru",GIKAKI SACCO SOCIETY LIMITED / ADR-O68I2YK,
highridge,8,3,2,kiambu_road thika_road,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD | LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY | KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,"odeon, highridge, pangani, ndenderu",KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD / ADR-BQ9SQR6,
kiambio,7,2,2,kiambu_road thika_road,FIG KOMBA | FIG PRESTIGE MANAGEMENT COMPANY LIMITED,"mathare north, ngara,figtree,gikomba, kiambio",FIG KOMBA / NTR-00201812211059020,
njiru,7,2,2,kiambu_road thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | MWIKI PSV SACCO SOCIETY LIMITED,"Karen, Dagoretti,Waithaka,Kawangware,Kibera,Knh,Bus Station,Njiru,Utawala,Ruai, Malaa",KENYA BUS SERVICE MANAGEMENT LIMITED / NTR-0020181211132633916,
kariobangi south,6,3,2,kiambu_road thika_road,FORWARD TRAVELLERS SACCO LTD | NEEMA TRAVELLERS AGENCY LIMITED | KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kariobangi south, outering road, thika road, gikomba, commercial",FORWARD TRAVELLERS SACCO LTD / ADR-K9BF6V8,
nanyuki,6,3,2,kiambu_road thika_road,NEO KENYA MPYA COMMUTERS LIMITED | KAKA TRAVELLERS SACCO LIMITED | JUPITERLINE INVESTMENTS CAPITAL LIMITED,"ngara, thika road, nanyuki",JUPITERLINE INVESTMENTS CAPITAL LIMITED / NTR-00201906141322300,
kariobangi round about,5,4,2,kiambu_road thika_road,DANDORA USAFIRI TRAVELLERS SACCO | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | PEJO TECH COMPANY LTD,"dandora, kariobangi round about,alsolps,thika road, ronald ngara",DANDORA USAFIRI TRAVELLERS SACCO / NTR-00357,
githiga,4,2,2,kiambu_road thika_road,GITHIGA TRAVELLERS SACCO | CBET SACCO,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",CBET SACCO / ADR-A5AC86D,
general waruinge,4,2,2,kiambu_road thika_road,MADIWA MATATU OWNERS SACCO | COMPLIANT MOA,"luthuli, general waruinge,garage,eastleigh, kimathi",COMPLIANT MOA / NTR-00355,
kosovo,4,2,2,kiambu_road thika_road,EASTLEIGH ROUTE SACCO | EASTLEIGH COMMUTER SERVICES LIMITED,"commercial, thika road, kosovo, juja road, eastleigh",EASTLEIGH COMMUTER SERVICES LIMITED / ADR-O68ILZA,
gatundu,4,3,2,kiambu_road thika_road,GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY. | TIKAGI SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | NICCO MOVERS LIMITED,"thika, gatundu, kiambu",GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY. / ADR-537HORO,
juja rd outering rd eastern bypass cabanas mombasa rd gm lusaka rd city stadium jogoo rd makadara via rabai rd lucky summer,4,1,2,kiambu_road thika_road,GEOBEAT MAOKA TRAVELLERS LIMITED,"Ngara, Juja Rd Outering Rd Eastern Bypass Cabanas Mombasa Rd GM Lusaka Rd City Stadium Jogoo Rd Makadara via Rabai Rd Lucky Summer, Muthurwa",GEOBEAT MAOKA TRAVELLERS LIMITED / ADR-2DVSDQ3,
mai mahiu,4,2,2,kiambu_road thika_road,LIBERA IMPEX LIMITED | KIZALI TRAVELLERS LIMITED,"kikuyu, limuru, mai mahiu",KIZALI TRAVELLERS LIMITED / NTR-00789,
eastleigh section3,3,2,2,kiambu_road thika_road,MADIWA MATATU OWNERS SACCO | 8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"jericho, gikomba,eastleigh section3, kariokor",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-VYASAWA,
kiskioni,3,3,2,kiambu_road thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KANGEMI MATATU OWNERS SACCO | BENJO( K) LTD,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
donyosabuku,3,3,2,kiambu_road thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KANGEMI MATATU OWNERS SACCO | BENJO( K) LTD,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
kilimambogo,3,3,2,kiambu_road thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KANGEMI MATATU OWNERS SACCO | BENJO( K) LTD,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD / NTR-001425,
mowlem,3,3,2,kiambu_road thika_road,SALTY SUPPORTERS INVESTMENT LIMITED | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | JONSAGA FLATS SACCO,"malaa, joska, ruai, saika, mowlem, kariobangi round about, juja road, kariokor, hakati",EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-YM3S66R,
komarocks rd,3,1,2,kiambu_road thika_road,EXPRESO LIMITED,"ndeiya, kikuyu,tom mboya,ngara,thika rd,juja rd,outering rd,kangundo rd,komarocks rd,choka,kasarani,mwiki, infinity",EXPRESO LIMITED / NTR-00201810080909530,
infinity,3,1,2,kiambu_road thika_road,EXPRESO LIMITED,"ndeiya, kikuyu,tom mboya,ngara,thika rd,juja rd,outering rd,kangundo rd,komarocks rd,choka,kasarani,mwiki, infinity",EXPRESO LIMITED / NTR-00201810080909530,
githuguri,3,2,2,kiambu_road thika_road,NAKWE TRAVELLERS SACCO SOCIETY LTD | GITHIGA TRAVELLERS SACCO,"st.peters, kiambu, limuru, githuguri",GITHIGA TRAVELLERS SACCO / ADR-DB3TB99,
